Passage,Grade Level
"The First People had only four lights to illuminate the world: white light from the eastern mountains, blue light from the southern mountains, yellow light from the western peaks, and darkness from the north. These lights were dim and much too far away to bring heat. The people wanted more daylight. “We barely have enough to see,” they complained. So First Woman sent Glowworm, Fox Fire, Lightning Beetle, and Firefly to the four corners. They would give more light when it was needed. But the First People were still not satisfied. “These lights are too small. They flicker on and off and are of little use to us. We do not have night eyes like Owl or Bat!” First Woman kept trying to please her people. She consulted Fire Man on his glowing mountain. He offered to make the land around Fire Mountain bright, but he warned her that the light would not cover all the lands and there would be smoke. The people liked the brightness, but they were still not happy. “We do not like the heat and the smoke that comes from Fire Mountain. The heat scorches the earth and we are choked by the smoke,” they grumbled. Eventually, First Woman had an idea for a different way to send light to Earth. She asked for a large, flat piece of the hardest rock available. After a long search, the people brought her a slab of quartz. It took a lot of hard work and a lot of help for First Woman to carve the quartz into two wheels. Once the wheels were ready, First Woman and First Man decorated them as faces with symbols of the powers they each had. They decorated the first wheel with a mask of blue turquoise to give light and heat. They attached red coral to the earlobes and around the rim. On each side was a horn to hold male lightning and rain. On the rim, they placed bird feathers—cardinal, lark, and eagle—to fly it through the sky and spread the rays of heat and light in the four directions. This was the Sun wheel. When it was time to decorate the second wheel, First Woman said, “We do not need more heat and light. This one will carry coolness and moisture.” She and First Man used white shell to create a face, with a band of yellow pollen on its chin and a rim of red coral. This wheel had feathers, too: magpie, nighthawk, turkey, and crane feathers to bear its weight. Its horns held female lightning and soft winds. This was Moon wheel. “This Sun wheel and Moon wheel cannot stay here,” declared First Woman. “We must place them in the sky!” First Man suggested they carry the disks to the top of the highest mountain and fasten them to the sky with darts of lightning, which the people did. Now the people had light, heat, coolness, and moisture all coming from the sky. But still they found something to complain about. Because the Sun always stayed in the east and never moved, one side of the land had an unending summer, and the other side had a winter that lasted forever. “This is not right,” they whined. First Man agreed. “The Sun must move across the sky, but how can it travel when it is only a stone and has no spirit?” At that moment, two ancient, wise men stepped forward and offered to help. “We will give our spirits to the Sun and the Moon so they will have life and power to move across the sky.” One entered the turquoise disk and he was called Jóhonaa’áí, or Sun Bearer; the other entered the white disk and he was called Tl’éhonaa’áí, or Moon Bearer. Once the Sun and the Moon were following their paths through the sky, the people returned to where First Woman had carved the wheels. The blanket where she had worked was covered with many small stone chips of every shape and size, plus stone dust from the cutting. “These white stones must not be wasted! We will use them to make more lights in the night sky,” exclaimed First Woman. So again, they worked with their flint knives, chisels, and stone hammers to shape the stars. To this day, the Sun, the Moon, and the stars created by First Woman, First Man, and all the people remain in the sky where they give light and heat by day and luminous, sparkling patterns at night. ",5
"How the Turtle Got Its Shell Sitting on a log in a slow-moving stream, a crowd of turtles bask in the sun. They are not afraid of hungry hawks or coyotes. Their hard shells protect them. So how did turtles get their armored suits? Turtles are reptiles, in the same family as snakes and lizards. But unlike snakes, turtles have a hard shell on the outside. A turtle’s shell is made of living bone—it’s part of the turtle’s skeleton. Muscles attach to the shell in the same way your muscles attach to your bones. So turtles can never leave their shells. For the last 200 million years, turtles have looked pretty much the way they look today. But 220 million years ago, a turtle ancestor called Odontochelys semitestacea did not quite have a shell yet. It had an extra-wide backbone and flat ribs that grew in a round, open shape. This fossil and other clues suggest that turtle shells evolved from backbones and ribs that expanded and grew together to form a solid bone shell. Turtle shells have three parts. The top, over the turtle’s back, is the carapace. The bottom, protecting the turtle’s belly, is the plastron. The plastron is also bone. Connecting these on the sides are the bridges. Together, these parts create an incredibly strong shell that protects the turtle from predators. When you look at a turtle’s shell, you don’t see the bare bone. Over the bone, turtles grow a thick layer of keratin, the same material your hair and fingernails are made of. This keratin forms plate-like sections called scutes. The square or hexagon ridges on a turtle’s shell are the scutes! Scutes protect the bone and also give turtle shells their color. Bone is alive, so a turtle’s shell grows as the turtle grows. New thin layers of scutes push the old layers up. This makes stepped ridges that give turtles their rough, scaly look. You can see from the ridges how much the turtle has grown. Not every turtle has scutes. Soft-shell turtles, pig-nosed turtles, and leatherback sea turtles grow a thick layer of leathery skin instead. What Shape Is Your Shell? Lalainya Goldsberry is a biologist who cares for turtles and other small animals at the Peggy Notebaert Nature Museum in Chicago. Some of the turtles live inside the museum, for kids to look at up close. Wild turtles live in a lagoon in back. Lalainya loves to look at turtles. If you do too, you may notice that they are not all the same shape. Some have big, round, dome shells. Others are almost flat. Some are smooth. Some are bumpy.  All these different shapes are suited to how the different turtles live. . . . Pancake is a spiny softshell turtle, one of the species that does not have scutes. Spiny softshells live most of their life in fresh water. Their flat shape and leathery shell help them swim fast and burrow into the sand at the bottom of the water. Box turtles get their name from their best party trick—they can close themselves up like a box. The secret is a hinge on their plastron. When a box turtle sees danger, it pulls its head and legs in close to its body and folds up its plastron at the hinge, shutting the shell up tightly. In winter, box turtles have another trick. They hibernate under the ice. They breathe by absorbing oxygen from the water through the skin in their butts. Patsy is an alligator snapping turtle. These big turtles lure fish into their mouths with a tongue that looks like a wiggling worm. To catch a fish, snapping turtles have to stay very still for a long time. Patsy has a rough, craggy shell with thick scutes. This helps her look like a rock as she waits patiently to catch her dinner. In fact, alligator snapping turtles often have moss growing on their shells, just like real rocks! Many turtles have a lighter color on their plastron. Bob the Blanding’s turtle is a good example. Bob is dark brown on top, and pale yellow on his chin, neck, and plastron. When a Blanding’s turtle swims, predators looking down into the water see the turtle’s dark top, which blends in with the dark water. But predators swimming below the turtle see the yellow parts, which blend in with the light shining down into the water. This type of camouflage is called countershading. ",5
"Millo Castro Zaldarriaga lived in Cuba and later became a world-famous musician. When she first played in a band in 1932, there were no female drummers in Cuba. On an island of music in a city of drumbeats the drum dream girl dreamed of pounding tall conga drums tapping small bongó drums and boom boom booming with long, loud sticks on big, round, silvery moon-bright timbales. But everyone on the island of music in the city of drumbeats believed that only boys should play drums so the drum dream girl had to keep dreaming quiet secret drumbeat dreams. At outdoor cafes that looked like gardens she heard drums played by men but when she closed her eyes she could also hear her own imaginary music. When she walked under wind-wavy palm trees in a flower-bright park she heard the whir of parrot wings the clack of woodpecker beaks the dancing tap of her own footsteps and the comforting pat of her own heartbeat. At carnivals, she listened to the rattling beat of towering dancers on stilts and the dragon clang of costumed drummers wearing huge masks. At home, her fingertips rolled out their own dreamy drum rhythm on tables and chairs... and even though everyone kept reminding her that girls on the island of music had never played drums the brave drum dream girl dared to play tall conga drums small bongó drums and big, round, silvery moon-bright timbales. Her hands seemed to fly as they rippled rapped and pounded all the rhythms of her drum dreams. Her big sisters were so excited that they invited her to join their new all-girl dance band but their father said only boys should play drums. So the drum dream girl had to keep dreaming and drumming alone until finally her father offered to find a music teacher who could decide if her drums deserved to be heard. The drum dream girl’s teacher was amazed. The girl knew so much but he taught her more and more and more and she practiced and she practiced and she practiced until the teacher agreed that she was ready to play her small bongó drums outdoors at a starlit café that looked like a garden where everyone who heard her dream-bright music sang and danced and decided that girls should always be allowed to play drums and both girls and boys should feel free to dream. ",5
"Sana’a is a city in the country of Yemen. During the time of this story, music was forbidden in Sana’a. In the city of Sana’a, an old man with an orange-hennaed beard could not stop playing his four-stringed Yemeni oud—no matter how hard he tried. During the day he hid the musical instrument in a wooden chest inside his house. Only late at night, while his neighbors slept, did he dare take the oud out of its hiding place. Before removing his oud from the chest, the man closed his wooden shutters and stuffed fat pillows in the windows so his music would not escape.  Holding the instrument in the crook of his arm, he played and sang. . . . The following night the old man waited until it was very late before taking the oud from its hiding place. At first he fingered the strings lightly so that the music stayed inside the house. But he soon became carried away—swept up in song—and his playing and singing grew louder. Shutters creaked open. Oil lamps glowed. Faces appeared at the windows.  Barefoot men dressed in long nightshirts stormed out of the arched doorways and ran to tell the soldiers that someone was playing music. . . . After a breakfast of sweetened tea and a circle of flatbread, the old man was taken to court. “Why did you break the law?” asked a dark-bearded judge who sat behind an enormous wooden desk. “Music is a gift,” the oud player replied. “What do you mean?” questioned the judge, his eyes narrowing. “I’ve been given the gift of being able to play and sing music. I cannot refuse to embrace it,” the old man answered. “I’ll show you.” He took the oud from his sleeve. “Stop!” the judge shouted, pounding the desk. “Stop at once!” “How can I prove my case if you don’t listen to the evidence?” the old man asked, cradling the oud. . . . “On top of a mountain no one could hear the music,” one judge suggested. So that afternoon nine sure-footed donkeys traveled up a rocky path carrying eight judges and an oud player. On the mountaintop, the judges gathered in a circle. The oud player sat on a nearby rock. Removing the instrument from his sleeve, he began to tune the oud.  It had been a long time since the judges had heard any music—even the harsh unmusical tuning of an oud. . . . One by one the judges found themselves swaying to the music.  At first faint smiles appeared on their lips . . . and finally, wide grins covered their faces. Relaxed and content, one judge glanced skyward. “Look!” he shouted, pointing. The others followed his gaze. They were amazed to see hundreds of oud-shaped clouds floating across the sky.  More and more clouds appeared as the oud player continued strumming and singing. . . . Today music is no longer forbidden in Yemen. Musicians can play openly, and often oud-shaped clouds can be spotted in the sky above Sana’a. ",5
"On a warm afternoon in September 1940, a young woman sat at her desk on the second floor of the Munitions Building in Washington, D.C. Her hazel eyes peered through rimless eyeglasses at strings of letters and numbers. She had been looking at symbols like these for more than a year and they still didn’t make sense.

All of a sudden, something jumped out at her, and she became very still. Al Small, her co-worker, noticed her concentration and walked over. The woman shared her discovery and they went to fetch their boss, Frank Rowlett. Another man joined them. All three crowded around the woman’s desk as she pointed out how some symbols stood at a certain interval from one another.

Rowlett jumped up and down. Small dashed around the room excitedly. Their cries of “That’s it!” “Whoopee!” “Hooray!” broke the silence of the room, which was usually as quiet as a library. To celebrate, the team sent out for Coca-Colas. It was the first one the woman had ever tasted.

The woman’s name was Genevieve Grotjan and she was a code breaker, or cryptanalyst, with the U.S. Army’s Signal Intelligence Service (SIS). Many cryptanalysts were people who studied how languages worked. Some were mathematicians. Grotjan had wanted to be a math teacher.

At the time, Grotjan was one of just a few women working at the highest levels of code breaking. Her discovery involved a complicated Japanese diplomatic code nicknamed Purple. Japanese codes were often named after colors.

In 1940, World War II was raging in Europe, North Africa, and Asia. The United Kingdom and France were fighting against Germany and Italy. Japan had invaded China, and in September 1940 Japan signed a pact to join forces with Germany and Italy.

The United States had not entered the war, but relations with Japan were becoming more and more strained. To “listen to” secret Japanese communications, the United States used a complex system to intercept the communications and break the codes.

Making Magic
Soon after Grotjan’s discovery, the SIS and U.S. Navy built a Purple cipher machine just like the decoding machines used in Japanese embassies. With it, the United States could read Japan’s most secret diplomatic messages and learn what the Japanese were doing and planning during the war. These translated messages soon became known as “magic” and were sent to high-ranking government officials, including President Franklin D. Roosevelt.

Grotjan was modest about her discovery. “Maybe I was just lucky in getting the right series of papers. I was elated up to a point but I didn’t think ‘This is it!’ because there was so much more to do.” Others celebrated it. A government committee said, “Magic contributed enormously to the defeat of the enemy, greatly shortened the war, and saved many thousands of lives.”",6
"A legacy is a place or tradition from the past that continues into the present. New York has several important legacies that help people learn about and remember the history of the state.

One-Room Schoolhouse: A Local Legacy
Would you like to experience what going to school was like in the late 1800s? To start with, imagine everyone in school sharing only one teacher and one classroom.

In the 19th and early 20th centuries, most American students attended a one-room schoolhouse. A single teacher would typically have students in the first through eighth grades, and she taught them all. The number of students varied from six to 40 or more. The youngest children sat in the front, while the oldest students sat in the back. The teacher usually taught reading, writing, arithmetic, history, and geography. Students memorized and recited their lessons.

The classroom of a one-room schoolhouse probably looked much like your own. The teacher’s desk may have been on a raised platform at the front of the room, however, and there would have been a wood-burning stove since there was no other source of heat. The bathroom would have been outside in an outhouse.

In Honeoye Falls, New York, there is a one-room schoolhouse where kids today can experience what it was like to be students in the late 19th century. For a week during the summer, they wear 19th century clothes and learn the way children learned more than a hundred years ago. . . .

Rochester, New York’s Lilac Festival: A Local Legacy
The Netherlands is known for its tulips. Rochester, New York, is known for another type of flower—the lilac. . . .

The Lower East Side Tenement Museum is in a building that used to be a tenement and it tells the story of immigrants in the City. It was built in the 1860s and could house 20 families, four on each floor. Each apartment had only three rooms: a living or “front” room, a kitchen, and a tiny bedroom. Often seven or more people lived in each apartment. Not only was the tenement crowded, but also, until 1905, there were no bathrooms inside the building. Residents also did not have electric power until after 1918. . . .",6
"At first glance, lichen on a tree looks like a gray-green, mossy stain. But a peek under the microscope reveals something extraordinary. It’s not one living thing, but two—a partnership of very different life forms.

Lichens may look like plants, but they’re not even half plant. Every lichen is a tiny team made up of a fungus and some algae or bacteria. Back in the 1800s, most people did not believe the German scientist who first suggested this. But one person who did agree was Beatrix Potter, the writer and artist who created Peter Rabbit.

Potter’s interest in lichens began with her fondness for fungi, which started with art. Potter was born in 1866 into a wealthy family in England. As was the custom then, she was taught by governesses at home, and her education included drawing lessons. Potter loved studying and drawing nature. She filled notebooks with sketches of plants, trees, flowers, and the wild animals that she sneaked home as pets—birds, bats, newts, toads, mice, and of course rabbits.

Potter had a gift for looking closely and a keen curiosity. She tried to learn all about these creatures as she put them on paper. The famous painter John Millais, who was a family friend, once gave her a great compliment. “Plenty of people can draw,” he said, “but you . . . have observation.”

Potter found great inspiration in nature. She wrote in her journal that she had an “irresistible desire to copy any beautiful object which strikes the eye.” Naturally, this included mushrooms and lichens.

When Potter first began painting mushrooms, she was charmed by their unusual shapes, rich colors, and mysterious habit of popping up unexpectedly. The more fungi (mushrooms, yeasts, and molds) she found, the more curious she became.

Liking the Lichens
Luckily, there was an expert handy. Charles McIntosh was the postman in the Scottish village where the Potter family spent their summer vacations. Walking through the country to deliver letters gave McIntosh the chance to pursue his true passion—collecting and cataloging fungi. When Potter showed him her mushroom paintings in 1892, McIntosh began teaching her scientific names and sending odd specimens for her to paint.

Over the next few years, Potter made over 350 paintings of mushrooms and lichens. When visiting London, she lingered for hours in the natural history museum or the botanic gardens. At home in the country, she rode out in her pony cart in search of fungi. On one good day, she wrote in her journal, “The fungus starred the ground apparently in thousands . . . I found upwards of twenty sorts in a few minutes . . . joy of joys.”

A good scientific observer, Potter often painted fungi in their natural settings, showing the loose leaves or decaying logs from which they grew. She also made notes on her drawings about how to tell one kind from another. She even experimented with growing fungi in her kitchen. Using a magnifying glass to view spores (which are like seeds for fungi) at 600 times their actual size, Potter made detailed sketches every six hours during their sprouting phase.

Potter also looked at lichens, which scientists grouped with the fungi. But when she looked at a reindeer lichen under a microscope, she saw not one but two sets of spores: the spores of a fungus and another that looked like an alga.

At the time, English scientists scorned the new idea that lichens might be two things. But Potter knew what she saw. In her journal, she laughs at how the botanists at the museum and Royal Botanic Garden “fled” when she peppered them with questions on the topic.

Potter wondered how the fungus and algae found each other to form lichens. Today scientists have answered some of her questions. Some lichens send out both partners’ spores together, while others must meet up by chance before growing into a lichen.

Potter also wondered whether the fungus and algae were equal partners and whether each could live on its own. Scientists are still trying to figure this out. In a lichen, the algae or bacteria partner makes food for both itself and the fungus. The fungus supplies minerals and a safe home. Although the spores of many lichen-forming fungi and algae can be grown separately in a lab, scientists have not found them growing separately in nature.",6
"If it weren’t for geese and other birds, the New Jersey salt marsh would seem almost dead in winter. Much of the other marsh life has either gone elsewhere or is hiding. Fiddler crabs winter in burrows beneath the mud. Mummichogs, small marsh-dwelling fish, move into salt marsh pools and hide in the mud during the coldest weather. Blue crabs move into deeper water and become inactive, burrowing into the mud and sand for the winter.

Have you ever been to a salt marsh? If you have visited a beach on the East Coast or Gulf Coast of the United States, you probably passed right through or over a salt marsh. Salt marshes grow in bays and along creeks and rivers that flow into salt water. Salt marshes are wetlands with grasses and low-growing plants that are flooded by the tides. Salt marshes do best where the water is brackish—that is, less salty than the ocean, but not fresh enough to drink. . . .

Spring: Return of the Laughing Gulls
HA-HA-HA-HAAAH-HAAAH. The laughing call of a gull overhead is the first sign of spring in this New Jersey salt marsh. Laughing gulls are migrating from shores and marshes farther south. With their black heads, gray backs, white breasts, and red bills and legs, these are the most handsome gulls of the salt marsh. More than any other gulls, laughing gulls need salt marshes to survive. Follow the laughing gulls, and you will learn a great deal about their marshy home.

Battered brown grasses are what the laughing gull sees below. Last year’s growth of grasses is slowly breaking down. New green shoots will soon pop through. In the marsh, a flock of brant feed on algae. The water is cold. Early spring is a pleasant time to visit the salt marsh. Days are getting warmer but not yet warm enough to bring out the hordes of hungry mosquitoes and biting flies.

King of Grasses
Of all the plants that grow in the mud of the salt marsh, one species of cordgrass, smooth cordgrass, stands out as king. In the deepest parts of the marsh, called the low marsh, this is often the only kind of plant you can find. Smooth cordgrass is usually between two and six feet high (sixty centimeters to two meters) though it can shoot up as tall as nine feet (almost three meters). In the high marsh, closer to shore, it grows tall along the creeks and shorter on flat places that are flooded for briefer periods of time. From southern Canada to northern Florida and along many parts of the Gulf Coast of the United States, this one kind of plant makes up most of the marsh. . . .

Rampaging Reed
In many places you will see dense stands of grass that you can barely walk through. The common reed, which is also known by its scientific name, Phragmites (frag-MY-tees), has stalks about one inch (two and a half centimeters) thick. It is often about 10 feet (3 meters) high, though it can grow as tall as 20 feet (6 meters). Phragmites has taken over large areas of salt marsh, eliminating and replacing cordgrasses and other marsh plants. Phragmites often gets a foothold in places where the marsh has been disturbed. For example, if mud and sand are dredged from a boat channel and dumped on the marsh, Phragmites will grow on the dirt pile. From there it will start to take over part of the marsh. Like cordgrass, it spreads by growing underground stems called rhizomes. These can be up to 20 feet (6 meters) long. New shoots of grass grow up from rhizomes, and the colony of Phragmites expands in all directions.",6
"I stopped the car
to let the children down
where the streets end
in the sun
at the marsh edge
and the reeds begin
and there are small houses
facing the reeds
and the blue mist
in the distance
with grapevine trellises
with grape clusters
small as strawberries
on the vines
and ditches
running springwater
that continue the gutters
with willows over them.

The reeds begin
like water at a shore
their pointed petals waving
dark green and light.
But blueflags are blossoming
in the reeds
which the children pluck
chattering in the reeds
high over their heads
which they part
with bare arms to appear
with fists of flowers
till in the air
there comes the smell
of calamus
from wet, gummy stalks.",6
"Sunday, June 18
Today began our adventure at the Columbian Exposition, the largest world’s fair in
history! After paying 50 cents to enter, we made our way to the Court of Honor. Water in
the Grand Basin and nearby lagoon reflects all the surrounding exhibition buildings. My
neck hurt from looking up at all the domes, towers, columns, and statues decorating those
enormous Great Buildings! We understand now why the fair is known as the “White
City”—nearly everything is painted sparkling white. . . .
First we visited the building of our home state, Minnesota, to admire Hiawatha’s
statue, sponsored by Minnesota schoolchildren’s pennies. Mother signed the visitors’
register and checked for any acquaintances also here this week. Lunch at the New England
Clam Bake arrived promptly, despite the huge crowds. Father suggested escaping the
afternoon heat in the buildings of some eastern states. Pennsylvania had a display of the
table on which the Declaration of Independence was signed, with its inkwell. Virginia had
the couch on which Civil War generals Ulysses S. Grant and Robert E. Lee negotiated the
surrender at Appomattox Court House.
Father insisted on staying late, footsore and dusty as we were. He bought tickets for
an evening ride on the elevated railway circling the grounds. At dusk, electric lights came
on everywhere—inside fountains, along rooflines, beside walkways. ousands of lights
twinkled all around. I asked Father about a giant lighted circle. He said it was George
Ferris’s “unfinished wheel.” It is still under construction, even though the rest of the
exposition opened six weeks ago.
Monday, June 19
Father decreed that we spend all day in the Manufactures and Liberal Arts Building,
by far the biggest of the Great Buildings. It is filled with exhibits on furniture, china,
musical instruments, and other factory-made items. Some countries sent native raw
materials, such as exotic woods and precious stones. Restaurants and cafés line the
building’s seemingly endless Upper Gallery. Father voted for lunch at an American
restaurant, but Mother persuaded him to try dinner at the elegant French café, where the
Vanderbilts’ former chef is in charge.
At dusk, we watched the lights come on again like thousands of candles lit all at once.
Father arranged a trip in a swan-shaped gondola on the exposition’s waterways. The lights’
reflections were magical—like being surrounded by floating fireflies.
Tuesday, June 20
Today we moved on to Transportation, the second-largest building. Gold-leaf
patterns and colorful arches at the entrance of this red-painted structure make it stand out
from the other white ones. Father took ever so long examining the American and
Canadian steam locomotives. Mother and I marveled at the collection of bicycles. We saw
everything from snowshoes to canoes to English warships. An electric elevator carried us
to the roof for a view of the fairgrounds.
Inside Machinery Hall, we were overwhelmed by the clatter and banging of hundreds
of machines operating simultaneously! We departed quickly. In Mines and Mining, Father
was fascinated by the exhibit on coal’s industrial importance at Frick Coal and Coke
Company’s model plant. I was more impressed by the sparkly diamonds from the Cape
Colony and lovely Aztec turquoise from Mexico. We stepped into a replica of Mammoth
Cave so real it seemed as though we entered the actual cavern! . . .
Wednesday, June 21 . . .
The Horticulture Building has a glass roof dome that lets sunlight reach the plants.
the sweet smell of flowers was heavenly after the stink from the livestock displays! I’m too
tired to write more tonight, but I wanted to make a note: The Ferris Wheel began
operating today, but Father said we can’t ride it until we’ve toured all the important
exhibits.
Thursday, June 22
Father saved “minor” buildings for last. At Fine Arts, Mother insisted on viewing
English, French, Dutch, and Italian works. I preferred the colors and delicate flowers in
Japanese painting. . . .
Mother and I were eager to see what the Women’s Building held. In a model hospital,
we watched trained nurses demonstrate their skills. A teacher drilled a model
kindergarten class in letters. Women’s art is displayed, too—an American named Mary
Cassatt has a beautiful painting on exhibit. . . .
Friday, June 23
At long last, I rode the Ferris Wheel! What a thrilling 10-minute ride! At the top, we
took turns looking down at the fair buildings’ roofs and out at Chicago in the distance.
And walking the Midway Plaisance was like taking a world tour! Even though Father
wanted to make this an educational trip, I could tell he was as excited as I was to see the
amusements. People wearing exotic clothing were all around. . . .
Saturday, June 24
Our last day—I’m not ready to leave. Mother purchased a few souvenirs—Libbey
glassware stamped with “World’s Columbian Exposition,” and postcards with sketches of
the main exhibition buildings. We tried the Ice Railway—really just a toboggan ride on
manufactured snow—and it doesn’t melt in the summer heat! Father treated us to one last
ride on the Ferris Wheel. We agree it’s the best of all!
I’m so grateful Mother gave me this journal for recording our visit. I’d never
remember everything without it!",7
"Dr. Randy Lewis runs a laboratory at the University of Wyoming where he and other scientists study the creation of spider silk. Sherry Adrianos is one of the scientists working in the lab. 
Excerpt from Stronger than Steel by Bridget Heos
Spider silk can be stronger than steel and even stronger than Kevlar, the material used in bulletproof vests. In the Spider-Man movies, Peter Parker was able to swing from buildings, catch a falling car, and stop a speeding train—all with spider silk.  Randy says that the strength of spider silk is not exaggerated in the movies. If anything, spider silk is even stronger. In real life, Peter Parker could stop a 747 airplane with a rope of spider silk just one inch in diameter.. . .
Imagine the possible uses for material this tough: Bulletproof vests. Parachute rope. The wire that helps stop huge fighter planes as they land on an aircraft carrier. On a smaller scale, spider silk thread could suture, or stitch, extremely delicate areas, such as the brain, eyeball, or spinal cord.  Artificial ligaments and tendons could also be made from spider silk. These could repair ankle, knee, and shoulder injuries. Because of its toughness, people have sought spider silk for a long time.  Ancient Greeks used it to dress wounds, for instance. But it has always been difficult to come by.  Finding it in the wild is time consuming. Case in point: A golden shawl—eleven by four feet—went on display at the American Museum of Natural History. It took seventy people four years to collect enough golden orb weavers for the project, and another twelve workers to reel in the silk from the spiders.. . .
Though unique in some ways, all the spiders in Randy’s lab have something in common: they’re female.  Only female golden orb weavers are kept because they’re the ones who spin webs. The much smaller males don’t.  Instead, they steal insects from the female’s web. Sometimes the female ignores the male. Other times, she attacks him.  Yet the spider doesn’t have to be male to become her lunch. She would gladly eat a female who entered her territory. As Sherry puts it, “If you try to raise spiders together, you’ll be left with one big spider.” And now you know why spiders can’t be raised domestically, like silkworms.  They would eat each other. That’s a shame, because spiders are great at producing spider silk. However, Randy thinks other organisms can be great at making spider silk, too.  He has three candidates in mind: goats, silkworms, and alfalfa. In fact, the goats at the University of Wyoming are already producing spider silk protein.. . .
In fact, mulberry silkworms, or Bombyx mori, have been raised domestically for thousands of years. Sericulture, as it’s called, began in China about seven thousand years ago. The practice spread throughout Asia and then to the Middle East and Europe. At the time, only natural fibers, such as silk, wool, hemp, and cotton, were available.  Today, manmade fibers can be woven into clothing. But fine garments, such as wedding gowns and men’s ties, are often still sewn from silk cloth. 
It’s easy to see why silkworms are being studied as possible spider silk producers. They spin a lot of silk.  Contrary to their name, they’re not worms, but moth caterpillars. Each moth lays hundreds of eggs.  When they hatch, they’re as tiny as eyelashes. After molting (shedding their skin) five times, they grow to about two and a half inches.  Then they spin their cocoons. Within several hours, each will have spun a cocoon with a single thread more than a thousand yards (914 meters) long.  Inside the cocoon they metamorphose into moths. After a couple weeks the moths emerge from the cocoons.  The moths mate and lay new eggs. . . .
Like a spider, a silkworm makes silk in glands in its abdomen and spins it with spinnerets. A spider’s many spinnerets are in its posterior, whereas the silkworm’s two spinnerets are in its mouth. And while a spider spins many kinds of silk, silkworms spin identical fibers with both spinnerets.  The fibers contain three proteins—heavy chain, light chain, and P25. Each fiber is coated in a gluelike substance called sericin.  This causes the two fibers to stick together when spun. It also holds the cocoon together.  In silk production, boiling the cocoons washes away the sericin. Then the threads can be unwound. This means that if silkworms produced spider silk, the scientists wouldn’t have to purify or spin it.  The silk would already be spun!
Today the spider goats produce enough spider silk protein for medical applications. But if spider silk could be mass-produced, it could also be used for airplane arresting wire, car airbags, and maybe even clothing.  Are silkworms the answer to mass-producing spider silk?",7
