passage_id,true_grade,model,raw_response,predicted_grade,parse_error,error_message,duration_seconds
6,4,gpt-oss:20b,Reading Level: Grade 5,5,False,,15.588
7,4,gpt-oss:20b,Reading Level: Grade 5,5,False,,17.358
8,4,gpt-oss:20b,Reading Level: Grade 5,5,False,,12.198
9,5,gpt-oss:20b,Reading Level: Grade 5,5,False,,10.79
10,5,gpt-oss:20b,Reading Level: Grade 5,5,False,,15.654
11,5,gpt-oss:20b,Reading Level: Grade 5,5,False,,15.424
12,5,gpt-oss:20b,Reading Level: Grade 5,5,False,,23.352
13,5,gpt-oss:20b,Reading Level: Grade 5,5,False,,34.613
14,6,gpt-oss:20b,Reading Level: Grade 5,5,False,,11.862
15,6,gpt-oss:20b,,,True,,50.34
16,6,gpt-oss:20b,Reading Level: Grade 3,3,False,,16.029
17,6,gpt-oss:20b,Reading Level: Grade 5,5,False,,29.31
18,6,gpt-oss:20b,Reading Level: Grade 5,5,False,,5.314
19,7,gpt-oss:20b,Reading Level: Grade 5,5,False,,12.42
20,7,gpt-oss:20b,Reading Level: Grade 5,5,False,,28.836
21,7,gpt-oss:20b,Reading Level: Grade 7,7,False,,17.322
22,7,gpt-oss:20b,Reading Level: Grade 5,5,False,,18.611
23,7,gpt-oss:20b,Reading Level: Grade 3,3,False,,41.644
24,7,gpt-oss:20b,Reading Level: Grade 7,7,False,,11.357
25,8,gpt-oss:20b,Reading Level: Grade 5,5,False,,17.504
26,8,gpt-oss:20b,Reading Level: Grade 7,7,False,,8.289
27,8,gpt-oss:20b,Reading Level: Grade 5,5,False,,20.113
28,8,gpt-oss:20b,Reading Level: Grade 7,7,False,,20.426
29,8,gpt-oss:20b,Reading Level: Grade 5,5,False,,12.015
30,8,gpt-oss:20b,Reading Level: Grade 3,3,False,,16.354
0,3,cogito:14b,Reading Level: Grade 4,4,False,,7.564
1,3,cogito:14b,Reading Level: Grade 4,4,False,,2.784
2,3,cogito:14b,Reading Level: Grade 4,4,False,,2.809
3,3,cogito:14b,Reading Level: Grade 3,3,False,,2.708
4,4,cogito:14b,Reading Level: Grade 5,5,False,,2.734
5,4,cogito:14b,Reading Level: Grade 3,3,False,,2.765
6,4,cogito:14b,Reading Level: Grade 5,5,False,,2.777
7,4,cogito:14b,Reading Level: Grade 5,5,False,,2.546
8,4,cogito:14b,Reading Level: Grade 4,4,False,,2.603
9,5,cogito:14b,Reading Level: Grade 5,5,False,,2.718
10,5,cogito:14b,Reading Level: Grade 5,5,False,,2.745
11,5,cogito:14b,Reading Level: Grade 5,5,False,,2.783
12,5,cogito:14b,Reading Level: Grade 4,4,False,,2.702
13,5,cogito:14b,Reading Level: Grade 5,5,False,,2.675
14,6,cogito:14b,Reading Level: Grade 5,5,False,,2.746
15,6,cogito:14b,Reading Level: Grade 4,4,False,,2.6
16,6,cogito:14b,Reading Level: Grade 5,5,False,,2.693
17,6,cogito:14b,Reading Level: Grade 5,5,False,,2.766
18,6,cogito:14b,Reading Level: Grade 5,5,False,,2.642
19,7,cogito:14b,Reading Level: Grade 5,5,False,,2.821
20,7,cogito:14b,Reading Level: Grade 5,5,False,,2.778
21,7,cogito:14b,Reading Level: Grade 5,5,False,,2.789
22,7,cogito:14b,Reading Level: Grade 5,5,False,,2.782
23,7,cogito:14b,Reading Level: Grade 5,5,False,,2.734
24,7,cogito:14b,Reading Level: Grade 5,5,False,,2.6
25,8,cogito:14b,Reading Level: Grade 5,5,False,,2.89
26,8,cogito:14b,Reading Level: Grade 5,5,False,,2.81
27,8,cogito:14b,Reading Level: Grade 5,5,False,,2.81
28,8,cogito:14b,Reading Level: Grade 5,5,False,,2.799
29,8,cogito:14b,Reading Level: Grade 5,5,False,,2.684
30,8,cogito:14b,Reading Level: Grade 5,5,False,,2.768
0,3,qwen3:8b,Reading Level: Grade 3,3,False,,30.94
1,3,qwen3:8b,Reading Level: Grade 5,5,False,,31.43
2,3,qwen3:8b,**Reading Level: Grade 5**,5,False,,26.271
3,3,qwen3:8b,**Reading Level: Grade 4**,4,False,,5.623
4,4,qwen3:8b,**Reading Level: Grade 5**,5,False,,26.418
5,4,qwen3:8b,,,True,,66.231
6,4,qwen3:8b,**Reading Level: Grade 5**,5,False,,44.84
7,4,qwen3:8b,Reading Level: Grade 4,4,False,,36.174
8,4,qwen3:8b,Reading Level: Grade 5,5,False,,28.848
9,5,qwen3:8b,,,True,,66.462
10,5,qwen3:8b,,,True,,66.221
11,5,qwen3:8b,,,True,,66.488
12,5,qwen3:8b,**Reading Level: Grade 5**,5,False,,20.566
13,5,qwen3:8b,**Reading Level: Grade 5**,5,False,,11.388
14,6,qwen3:8b,**Reading Level: Grade 5**,5,False,,14.71
15,6,qwen3:8b,**Reading Level: Grade 5**,5,False,,16.963
16,6,qwen3:8b,**Reading Level: Grade 6**,6,False,,45.159
17,6,qwen3:8b,Reading Level: Grade 5,5,False,,23.961
18,6,qwen3:8b,**Reading Level: Grade 4**,4,False,,5.473
19,7,qwen3:8b,,,True,,66.541
20,7,qwen3:8b,,,True,,66.536
21,7,qwen3:8b,,,True,,66.465
22,7,qwen3:8b,**Reading Level: Grade 7**,7,False,,22.047
23,7,qwen3:8b,,,True,,65.662
24,7,qwen3:8b,**Reading Level: Grade 5**,5,False,,20.591
25,8,qwen3:8b,**Reading Level: Grade 6**,6,False,,11.98
26,8,qwen3:8b,,,True,,66.585
27,8,qwen3:8b,,,True,,66.921
28,8,qwen3:8b,**Reading Level: Grade 5**,5,False,,10.181
29,8,qwen3:8b,**Reading Level: Grade 7**,7,False,,14.915
30,8,qwen3:8b,,,True,,65.664
0,3,mistral-small3.2:latest,Reading Level: Grade 4,4,False,,9.041
1,3,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.764
2,3,mistral-small3.2:latest,Reading Level: Grade 4,4,False,,2.82
3,3,mistral-small3.2:latest,Reading Level: Grade 3,3,False,,2.662
4,4,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.963
5,4,mistral-small3.2:latest,Reading Level: Grade 4,4,False,,2.776
6,4,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.82
7,4,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.666
8,4,mistral-small3.2:latest,Reading Level: Grade 4,4,False,,10.729
9,5,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,3.022
10,5,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.933
11,5,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.855
12,5,mistral-small3.2:latest,Reading Level: Grade 4,4,False,,2.818
13,5,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.851
14,6,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.796
15,6,mistral-small3.2:latest,"[Note: multiple passages detected; analyzed Passage 1 only]
Reading Level: Grade 5",5,False,,3.002
16,6,mistral-small3.2:latest,**Reading Level: Grade 5**,5,False,,2.91
17,6,mistral-small3.2:latest,"[Note: multiple passages detected; analyzed Passage 1 only]
Reading Level: Grade 5",5,False,,3.138
18,6,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.642
19,7,mistral-small3.2:latest,**Reading Level: Grade 5**,5,False,,3.108
20,7,mistral-small3.2:latest,**Reading Level: Grade 5**,5,False,,2.941
21,7,mistral-small3.2:latest,Reading Level: Grade 7,7,False,,2.989
22,7,mistral-small3.2:latest,Reading Level: Grade 6,6,False,,2.958
23,7,mistral-small3.2:latest,**Reading Level: Grade 5**,5,False,,2.896
24,7,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.777
25,8,mistral-small3.2:latest,**Reading Level: Grade 5**,5,False,,3.01
26,8,mistral-small3.2:latest,Reading Level: Grade 6,6,False,,2.958
27,8,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.976
28,8,mistral-small3.2:latest,**Reading Level: Grade 5**,5,False,,2.894
29,8,mistral-small3.2:latest,Reading Level: Grade 5,5,False,,2.795
30,8,mistral-small3.2:latest,**Reading Level: Grade 5**,5,False,,2.794
0,3,phi4,"**Reading Level: Grade 4**

The passage is straightforward prose suitable for middle elementary students. The sentence structures are mostly simple or compound, with clear subject-verb-object patterns (Dimension 1). Language use is literal and direct, with minimal figurative language (Dimension 2). The topic of organizing a community event is familiar to young readers, requiring little prior knowledge (Dimension 3). The narrative follows a linear structure, making it easy to follow (Dimension 4).

The vocabulary includes some Tier 2 words like ""announced"" and ""permission,"" but these are contextually supported. There's no significant use of challenging Tier 3 technical terms.

Quantitatively, the passage would likely yield an Flesch-Kincaid grade level around Grade 4 due to its sentence length and syllable count. Qualitative analysis aligns with this estimate, confirming a reading level appropriate for Grade 4 students.",4,False,,15.275
1,3,phi4,"**Reading Level: Grade 4**

- **Quantitative Approximation:** The passage is prose with an average sentence length (ASL) and syllables per word (ASW) that suggest it fits within the range of a fourth-grade reading level when applying the Flesch-Kincaid formula.

- **Vocabulary Analysis:** The vocabulary includes some Tier 2 words like ""omnivores"" and ""nocturnal,"" which are high-utility academic terms. These words may challenge younger readers but are generally defined or supported in context, making them accessible with minimal external knowledge required.

- **Qualitative Dimension Scoring:**
  - **Dimension 1: Syntactic Complexity:** The passage predominantly uses simple and compound sentences with clear subject-verb-object structures (Score: 2).
  - **Dimension 2: Language Abstractness:** The language is mostly literal and explicit, with minimal figurative language (Score: 2).
  - **Dimension 3: Knowledge Demands:** The text assumes some familiarity with basic animal behavior but does not require specialized background knowledge (Score: 2-3).
  - **Dimension 4: Structural Complexity:** The passage has a clear linear narrative and predictable organizational pattern (Score: 1).

- **Grade Band Determination:** All dimensions align closely, suggesting a Grade 3–4 band. The FK estimate supports this conclusion.

- **Sensitivity Analysis:** Removing complex sentences or simplifying vocabulary would not significantly alter the grade level. The complexity is consistent throughout the passage.

Overall, the passage's structure, vocabulary, and content are appropriate for a fourth-grade reading level.",4,False,,6.387
2,3,phi4,"**Reading Level: Grade 4**

- The passage features simple sentence structures with a mix of compound sentences.
- Vocabulary includes some Tier 2 words like ""disaster"" and ""homework,"" but they are generally defined or supported in context.
- Syntactic complexity is moderate, with occasional subordinate clauses.
- Language abstractness is low to moderate, using direct statements and mild metaphors.
- Knowledge demands are minimal; the story is self-contained with familiar themes.
- Structural complexity is straightforward, following a linear narrative.

Overall, these factors align with a Grade 4 reading level.",4,False,,3.935
3,3,phi4,"**Reading Level: Grade 3**

- The passage is prose with a simple narrative structure.
- Average sentence length and syllable count suggest a lower grade level.
- Vocabulary is straightforward, mostly Tier 1 words, with no challenging terms.
- Syntactic complexity is low (Score 1–2), using simple sentences.
- Language abstractness is minimal (Score 1–2), relying on literal language.
- Knowledge demands are low (Score 1–2), as the story is self-contained and familiar.
- Structural complexity is straightforward (Score 1–2), with a clear narrative progression.",3,False,,3.945
4,4,phi4,"**Reading Level: Grade 5**

The passage is prose and suitable for analysis using the Flesch-Kincaid formula. Here's how it breaks down:

### Step 1 — Quantitative Approximation

- **Average Sentence Length (ASL):** The passage contains a mix of short and medium-length sentences, averaging around 15 words per sentence.
- **Average Syllables Per Word (ASW):** Most words are one or two syllables long, with an average of about 1.5 syllables per word.

Applying the Flesch-Kincaid formula:

\[ FK \approx 0.39 \times ASL + 11.8 \times ASW - 15.59 \]

\[ FK \approx 0.39 \times 15 + 11.8 \times 1.5 - 15.59 \]

\[ FK \approx 5.85 + 17.7 - 15.59 = 7.96 \]

This suggests a reading level around Grade 8, but this is just a surface-level signal.

### Step 2 — Vocabulary Analysis

- **Tier 2 Words:** ""puzzled,"" ""zone out,"" ""repair,"" ""memories,"" ""cycle.""
- **Tier 3 Words:** ""electrical impulses,"" ""short-term memory,"" ""long-term memory.""

Most challenging words are defined or supported in context.

### Step 3 — Qualitative Dimension Scoring

**Dimension 1: Syntactic Complexity**
- Score: 3–4
- The passage uses a mix of simple, compound, and some complex sentences with occasional subordinate clauses.

**Dimension 2: Language Abstractness**
- Score: 3–4
- Some figurative language is present (e.g., ""twilight zone""), but most language is literal.

**Dimension 3: Knowledge Demands**
- Score: 3–4
- Assumes some familiarity with basic scientific concepts, but not specialized knowledge.

**Dimension 4: Structural Complexity**
- Score: 1–2
- The passage has a clear linear narrative and predictable organizational pattern.

### Step 4 — Grade Band Determination

- **Syntactic Complexity:** Grade 5–6
- **Language Abstractness:** Grade 5–6
- **Knowledge Demands:** Grade 5–6
- **Structural Complexity:** Grade 3–4

Three dimensions suggest a Grade 5–6 band, while one suggests Grade 3–4. The majority indicates Grade 5–6.

### Step 5 — Sensitivity Analysis

- Removing complex sentences or simplifying vocabulary would not significantly lower the grade level.
- The complexity is consistent throughout the passage.

The FK estimate suggested Grade 8, but qualitative analysis aligns more closely with Grade 5–6. Given the majority of dimensions and context support, the final reading level is determined as:

**Reading Level: Grade 5**",5,False,,9.586
5,4,phi4,"**Reading Level: Grade 4**

- **Quantitative Approximation:** The passage is prose, so we calculate FK using ASL and ASW from a sample of words. The sentence structure is relatively simple with clear subject-verb-object patterns.
  
- **Vocabulary Analysis:** Most vocabulary is Tier 2 or common words (e.g., ""wallet,"" ""credit card""). Some domain-specific terms like ""cochinos"" and ""biscochitos"" are present but explained in context.

- **Qualitative Dimension Scoring:**
  - **Dimension 1: Syntactic Complexity:** Score of 2. The passage uses simple and compound sentences with minimal embedding.
  - **Dimension 2: Language Abstractness:** Score of 1–2. The language is literal and explicit, with direct statements.
  - **Dimension 3: Knowledge Demands:** Score of 1–2. The text is self-contained and does not require specialized background knowledge.
  - **Dimension 4: Structural Complexity:** Score of 1–2. The narrative follows a linear structure with clear topic sentences.

- **Grade Band Determination:** All dimensions align with Grade 3–4, indicating this reading level.

- **Integrate FK Estimate:** The FK estimate supports the qualitative assessment, confirming the passage is appropriate for Grade 4 readers.",4,False,,5.831
6,4,phi4,"**Reading Level: Grade 5**

- **Quantitative Approximation:** The passage is prose, so we calculate FK using ASL and ASW from a sample of words. The sentence structure is moderately complex with some compound sentences.
  
- **Vocabulary Analysis:** Words like ""fantasize,"" ""casa,"" and ""rickety"" are identified as potentially challenging. These are mostly Tier 2 or contextually supported, not requiring external knowledge.

- **Qualitative Dimension Scoring:**
  - **Dimension 1 (Syntactic Complexity):** Score of 3–4 due to a mix of simple and compound sentences.
  - **Dimension 2 (Language Abstractness):** Score of 1–2 as the language is mostly literal with minimal figurative elements.
  - **Dimension 3 (Knowledge Demands):** Score of 1–2 since it requires little prior knowledge, focusing on familiar themes like family and friendship.
  - **Dimension 4 (Structural Complexity):** Score of 1–2 due to a clear linear narrative.

- **Grade Band Determination:** All dimensions align with Grade 5–6. The FK estimate supports this range.

- **Sensitivity Analysis:** Removing complex sentences or simplifying vocabulary would not significantly alter the grade band, indicating consistent complexity throughout the passage.",5,False,,5.774
7,4,phi4,"**Reading Level: Grade 5**

- **Quantitative Approximation:** 
  - Average Sentence Length (ASL) and Average Syllables per Word (ASW) were estimated from a sample of words.
  - FK formula applied: `FK ≈ 0.39 × ASL + 11.8 × ASW − 15.59`
  - Result suggests a reading level around Grade 5.

- **Vocabulary Analysis:** 
  - Identified challenging words include ""delicatessen,"" ""promised,"" and ""equipment.""
  - These are mostly Tier 2 or contextually supported, with no significant reliance on external knowledge.

- **Qualitative Dimension Scoring:**
  - **Dimension 1 (Syntactic Complexity):** Score of 3. The passage uses a mix of simple and compound sentences.
  - **Dimension 2 (Language Abstractness):** Score of 2. Language is literal with minimal figurative language.
  - **Dimension 3 (Knowledge Demands):** Score of 2. Familiar topics, no specialized background required.
  - **Dimension 4 (Structural Complexity):** Score of 1-2. Linear narrative with clear topic sentences.

- **Grade Band Determination:**
  - All dimensions align closely with Grade 5–6 band.
  - FK estimate and qualitative analysis both suggest a Grade 5 level.

- **Sensitivity Analysis:**
  - Removing complex sentences or simplifying vocabulary would not significantly alter the grade band.
  - Complexity is consistent throughout the passage. 

The overall assessment indicates that this passage is most appropriate for students at a Grade 5 reading level.",5,False,,6.32
8,4,phi4,"**Reading Level: Grade 4**

- **Quantitative Approximation:** The passage is prose with an average sentence length (ASL) and syllables per word (ASW) that suggest a reading level around grade 4 when applying the Flesch-Kincaid formula.
  
- **Vocabulary Analysis:** Key words like ""dilemma,"" ""adorned,"" and ""tiers"" are Tier 2 vocabulary, which may challenge younger readers but are manageable with context. No Tier 3 technical terms are present.

- **Qualitative Dimension Scoring:**
  - **Dimension 1 (Syntactic Complexity):** The passage uses simple to compound sentences, scoring a 2.
  - **Dimension 2 (Language Abstractness):** Language is mostly literal and explicit, scoring a 2.
  - **Dimension 3 (Knowledge Demands):** The story is self-contained with familiar themes, scoring a 1-2.
  - **Dimension 4 (Structural Complexity):** The narrative follows a clear linear structure, scoring a 1.

- **Grade Band Determination:** All dimensions align to suggest a Grade 3–4 band. The FK estimate supports this conclusion.

- **Sensitivity Analysis:** Removing complex sentences or simplifying vocabulary would not significantly alter the grade level determination. The complexity is consistent throughout the passage.",4,False,,5.679
9,5,phi4,"**Reading Level: Grade 5**

- **Quantitative Approximation:** The passage is prose with an average sentence length and syllable count that suggests a middle-grade reading level.
  
- **Vocabulary Analysis:** Words like ""concert,"" ""violinist,"" ""opera,"" and ""Bach"" are present, but most can be inferred from context or are familiar to students in grades 5–6. Some Tier 3 words may require additional explanation.

- **Qualitative Dimension Scoring:**
  - **Dimension 1 (Syntactic Complexity):** The passage uses a mix of simple and compound sentences with some complex structures, scoring around 3–4.
  - **Dimension 2 (Language Abstractness):** Language is mostly literal with minimal figurative language, scoring around 1–2.
  - **Dimension 3 (Knowledge Demands):** Some prior knowledge about music may be helpful but not essential, scoring around 3.
  - **Dimension 4 (Structural Complexity):** The structure is clear and linear, scoring around 1–2.

- **Grade Band Determination:** All dimensions suggest a Grade 5–6 band. The FK estimate aligns with this range.

- **Sensitivity Analysis:** Removing complex sentences or simplifying vocabulary would not significantly alter the grade level determination. The complexity is consistent throughout the passage.",5,False,,5.787
10,5,phi4,"**Reading Level: Grade 5**

The passage is a narrative about how the First People received different sources of light from natural elements and beings sent by First Woman. The text uses simple sentence structures with some complex sentences that include subordinate clauses, fitting within a syntactic complexity score of 3-4. Vocabulary includes some Tier 2 words like ""illuminate"" and ""complained,"" but most terms are accessible or contextually defined, making the language abstractness moderate (score 3). The knowledge demands are low as it relies on familiar concepts without requiring specialized background information (score 1-2). Structural complexity is straightforward with a clear narrative progression (score 1-2).

The quantitative FK formula would likely yield an estimate around Grade 4-5, aligning well with the qualitative analysis. Overall, the passage's language and structure are appropriate for a fifth-grade reading level.",5,False,,4.781
11,5,phi4,"**Reading Level: Grade 5**

The passage provides a clear and engaging explanation about turtles and their shells, suitable for a fifth-grade reading level. The vocabulary includes some Tier 2 words like ""evolved"" and ""predators,"" which are appropriate for this grade band. The sentence structures are varied but not overly complex, with a mix of simple and compound sentences that maintain clarity.

**Dimension Analysis:**

1. **Syntactic Complexity:** Predominantly simple to compound sentences; some complex sentences appear (Score 3).
2. **Language Abstractness:** Mostly literal language with occasional figurative elements like ""armored suits"" (Score 2-3).
3. **Knowledge Demands:** Assumes basic understanding of biology but explains concepts well, making it accessible without extensive prior knowledge (Score 2-3).
4. **Structural Complexity:** The passage is linear and easy to follow, with clear topic sentences and a logical progression (Score 1-2).

The qualitative analysis aligns with the quantitative FK estimate, confirming that the reading level is appropriate for Grade 5 students.",5,False,,5.088
12,5,phi4,"**Reading Level: Grade 5**

- **Quantitative Approximation:** The passage is prose, so we calculate the Flesch-Kincaid (FK) grade level using average sentence length (ASL) and average syllables per word (ASW). The text has a moderate ASL and ASW, suggesting an FK around Grade 5.

- **Vocabulary Analysis:** 
  - Tier 2 words: ""amazed,"" ""decided.""
  - Tier 3 words: ""conga,"" ""bongó,"" ""timbales."" These are defined or supported in context by the narrative.
  
- **Qualitative Dimension Scoring:**
  - **Dimension 1: Syntactic Complexity:** Score of 2. The sentences are mostly simple and compound, with clear subject-verb-object structures.
  - **Dimension 2: Language Abstractness:** Score of 2. The language is literal and explicit, with minimal figurative language.
  - **Dimension 3: Knowledge Demands:** Score of 1. The passage is self-contained and does not require specialized background knowledge.
  - **Dimension 4: Structural Complexity:** Score of 2. The narrative follows a linear structure with clear topic sentences.

- **Grade Band Determination:** All dimensions align with Grade 3–4, but the FK estimate suggests Grade 5. Given the vocabulary and context support, the passage is best suited for Grade 5 readers.

- **Sensitivity Analysis:** Removing complex sentences or neutralizing vocabulary would not significantly alter the grade band. The complexity level is consistent throughout the passage.",5,False,,6.307
13,5,phi4,"**Reading Level: Grade 5**

- **Quantitative Approximation:** The passage is prose with an average sentence length (ASL) of approximately 15 words and an average syllables per word (ASW) around 1.4, resulting in a Flesch-Kincaid grade level estimate of about 5.

- **Vocabulary Analysis:**
  - *Oud*: Tier 3, domain-specific term; defined by context.
  - *Arched doorways*: Tier 2, common but slightly advanced vocabulary.
  - *Sure-footed*: Tier 2, descriptive adjective that may require some inference.
  - *Harsh unmusical tuning*: Tier 2, descriptive phrase requiring some understanding of music.

- **Qualitative Dimension Scoring:**
  - **Dimension 1: Syntactic Complexity:** Score 3. The passage uses a mix of simple and compound sentences with occasional complex structures.
  - **Dimension 2: Language Abstractness:** Score 2. The language is mostly literal, with some mild figurative elements (e.g., ""oud-shaped clouds"").
  - **Dimension 3: Knowledge Demands:** Score 2. The passage is self-contained with familiar themes and minimal specialized knowledge required.
  - **Dimension 4: Structural Complexity:** Score 2. The narrative follows a clear linear structure with predictable organization.

- **Grade Band Determination:** All dimensions align closely, suggesting a Grade 5–6 band. The FK estimate supports this range, confirming the passage is appropriate for Grade 5 students.

- **Sensitivity Analysis:** Removing complex sentences or simplifying vocabulary would not significantly alter the grade level. The complexity and engagement are consistent throughout the passage.",5,False,,6.533
14,6,phi4,"**Reading Level: Grade 5**

- **Quantitative Approximation:** The passage is prose with an average sentence length (ASL) and syllables per word (ASW) that suggest a reading level around grade 5 when applying the Flesch-Kincaid formula.
  
- **Vocabulary Analysis:** Key terms like ""cryptanalyst,"" ""diplomatic code,"" and ""cipher machine"" are Tier 3 vocabulary, which may challenge some readers but are often defined or supported in context.

- **Qualitative Dimension Scoring:**
  - **Dimension 1 (Syntactic Complexity):** The passage uses a mix of simple and compound sentences with occasional complex structures. Score: 3
  - **Dimension 2 (Language Abstractness):** Language is mostly literal, with some figurative expressions like ""jumped out at her."" Score: 2
  - **Dimension 3 (Knowledge Demands):** Some prior knowledge about World War II and code breaking may be helpful but not essential. Score: 3
  - **Dimension 4 (Structural Complexity):** The narrative is linear with a clear structure, making it easy to follow. Score: 2

- **Grade Band Determination:** All dimensions align closely with Grade 5–6, and the FK estimate supports this range.

- **Sensitivity Analysis:** Removing complex sentences or simplifying vocabulary would not significantly alter the grade band, indicating consistent complexity throughout the passage.",5,False,,5.975
15,6,phi4,"**Reading Level: Grade 4**

- The passage is prose with a clear narrative structure and straightforward language.
- Average sentence length (ASL) and average syllables per word (ASW) suggest a reading level around grade 4 when applying the Flesch-Kincaid formula.
- Vocabulary includes some Tier 3 words like ""tenement"" and ""immigrants,"" but these are generally defined or supported by context.
- Syntactic complexity is low to moderate, with simple and compound sentences predominating (Dimension 1: Score 2).
- Language abstractness is minimal, relying on literal descriptions (Dimension 2: Score 1–2).
- Knowledge demands are low; the passage provides sufficient context for understanding without requiring extensive prior knowledge (Dimension 3: Score 1–2).
- Structural complexity is straightforward with a clear narrative flow and predictable organization (Dimension 4: Score 1–2).

All dimensions align to suggest a Grade 4 reading level.",4,False,,4.8
